Wavelength_nm,Response,ExcelInterp,CSVIntensityNorm,ShiftApplied,WL_Min_Filter
444.590271,0.54925867,0.5108179,0.28057116,2.374402,403.00
444.810425,0.54986799,0.52618386,0.28933166,2.374402,403.00
445.030609,0.55073351,0.54162957,0.29829356,2.374402,403.00
445.250824,0.54992637,0.55710973,0.30636933,2.374402,403.00
445.471039,0.54585688,0.57251593,0.31251176,2.374402,403.00
445.691254,0.54612336,0.58790905,0.32107087,2.374402,403.00
445.911499,0.54919207,0.60321591,0.33128139,2.374402,403.00
446.131775,0.54738266,0.61841805,0.33851132,2.374402,403.00
446.352020,0.549651,0.63352629,0.34821836,2.374402,403.00
446.572296,0.5496834,0.64836383,0.35639484,2.374402,403.00
446.792602,0.55284553,0.6627601,0.36640395,2.374402,403.00
447.012878,0.55150412,0.67653222,0.3731103,2.374402,403.00
447.233215,0.55432295,0.68940452,0.38215275,2.374402,403.00
447.453522,0.5579665,0.70128924,0.3912959,2.374402,403.00
447.673889,0.55191584,0.71226153,0.39310842,2.374402,403.00
447.894257,0.55792617,0.72238408,0.40303699,2.374402,403.00
448.114624,0.56560646,0.73173109,0.41387184,2.374402,403.00
448.334992,0.56056759,0.74039222,0.41503988,2.374402,403.00
448.555389,0.56198245,0.74845474,0.42061842,2.374402,403.00
448.775818,0.56103351,0.75600255,0.42414276,2.374402,403.00
448.996216,0.56535208,0.763016,0.43137268,2.374402,403.00
449.216644,0.55996731,0.76934633,0.4308088,2.374402,403.00
449.437073,0.5681914,0.77490491,0.4402943,2.374402,403.00
449.657562,0.56890043,0.77956777,0.44349644,2.374402,403.00
449.878021,0.56994013,0.78305725,0.44629575,2.374402,403.00
450.098511,0.5681281,0.78534213,0.44617493,2.374402,403.00
450.319000,0.57405278,0.78649853,0.45149166,2.374402,403.00
450.539520,0.57338947,0.78649511,0.45096802,2.374402,403.00
450.760040,0.56576996,0.78548299,0.44440268,2.374402,403.00
450.980591,0.57707834,0.78349171,0.4521361,2.374402,403.00
451.201141,0.5714318,0.78041404,0.4459534,2.374402,403.00
451.421722,0.57630063,0.7763718,0.44742356,2.374402,403.00
451.642242,0.57458281,0.77129736,0.4431742,2.374402,403.00
451.862854,0.5729587,0.76515329,0.43840123,2.374402,403.00
452.083466,0.57415442,0.75801778,0.43521926,2.374402,403.00
452.304077,0.58249733,0.74992688,0.4368304,2.374402,403.00
452.524689,0.58497895,0.74103057,0.43348729,2.374402,403.00
452.745331,0.58788373,0.73147692,0.43002338,2.374402,403.00
452.966003,0.58589851,0.7213749,0.42265248,2.374402,403.00
453.186676,0.58809321,0.71087501,0.41806076,2.374402,403.00
453.407349,0.58433086,0.70014954,0.40911899,2.374402,403.00
453.628052,0.5920144,0.68922561,0.40803149,2.374402,403.00
453.848755,0.58671418,0.67815199,0.39788139,2.374402,403.00
454.069428,0.59299617,0.66685853,0.39544455,2.374402,403.00
454.290161,0.60390347,0.65534776,0.39576679,2.374402,403.00
454.510895,0.59643408,0.64359931,0.38386456,2.374402,403.00
